Date,Open,High,Low,Close,Adj Close,Volume
2015-07-07,113.370003,113.949997,112.099998,113.419998,106.376854,445100
2015-07-08,112.410004,114.489998,112.400002,113.239998,106.208015,424800
2015-07-09,114.449997,115.000000,113.570000,113.690002,106.630089,599500
2015-07-10,115.019997,116.250000,114.010002,115.919998,108.721581,345600
2015-07-13,117.309998,119.730003,116.690002,119.430000,112.013641,703500
2015-07-14,119.220001,119.699997,118.220001,118.790001,111.413383,536200
2015-07-15,118.800003,119.309998,117.900002,118.540001,111.178894,548300
2015-07-16,116.959999,119.000000,114.529999,115.570000,108.393349,1306800
2015-07-17,115.199997,115.320000,109.570000,110.040001,103.206726,2245500
2015-07-20,109.970001,111.830002,109.970001,111.040001,104.144630,762300
2015-07-21,110.949997,111.570000,110.099998,111.370003,104.454132,535800
2015-07-22,111.220001,112.860001,111.220001,112.309998,105.335777,608300
2015-07-23,112.709999,113.230003,111.529999,111.650002,104.716766,467300
2015-07-24,112.330002,112.760002,110.889999,110.959999,104.069603,530800
2015-07-27,110.720001,112.410004,110.559998,111.309998,104.397865,452600
2015-07-28,111.470001,111.989998,110.750000,111.769997,104.829292,371400
2015-07-29,111.599998,113.800003,111.599998,113.510002,106.461258,436500
2015-07-30,113.510002,114.080002,112.089996,113.839996,106.770760,295100
2015-07-31,114.190002,114.910004,113.400002,113.839996,106.770760,365700
2015-08-03,113.839996,114.690002,113.389999,114.269997,107.174057,337100
2015-08-04,114.419998,115.610001,113.949997,115.230003,108.074455,354200
2015-08-05,115.540001,116.269997,114.250000,114.400002,107.295990,399800
2015-08-06,114.419998,114.779999,111.660004,111.839996,104.894974,481800
2015-08-07,111.940002,113.580002,110.800003,113.430000,106.386223,415900
2015-08-10,113.730003,114.400002,112.510002,113.139999,106.114197,295000
2015-08-11,112.690002,113.559998,111.599998,113.489998,106.442497,555800
2015-08-12,112.000000,112.410004,109.580002,111.879997,104.932480,410700
2015-08-13,111.970001,114.459999,111.940002,114.199997,107.108398,333100
2015-08-14,114.199997,114.500000,113.169998,114.169998,107.080261,239400
2015-08-17,113.750000,114.989998,112.879997,114.989998,107.849342,295900
2015-08-18,115.000000,115.059998,112.860001,112.900002,105.889130,319900
2015-08-19,112.400002,112.400002,110.410004,110.529999,103.666298,751100
2015-08-20,109.879997,110.300003,107.320000,107.660004,100.974525,569900
2015-08-21,106.180000,107.080002,104.449997,104.480003,97.992012,891200
2015-08-24,99.250000,105.260002,99.000000,101.779999,95.459663,735500
2015-08-25,103.529999,106.300003,103.080002,105.019997,98.498444,1039200
2015-08-26,106.660004,106.660004,103.260002,106.300003,99.698997,572400
2015-08-27,107.269997,108.519997,106.269997,107.800003,101.105820,327800
2015-08-28,108.800003,108.800003,107.000000,108.410004,101.677971,255100
2015-08-31,107.750000,108.269997,105.739998,105.940002,99.361336,330500
2015-09-01,103.760002,105.349998,103.330002,103.849998,97.401108,812700
